znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"300.00,0.111"	0.111	300
"301.00,0.111"	0.111	301
"302.00,0.103"	0.103	302
"303.00,0.100"	0.1	303
"304.00,0.090"	0.09	304
"305.00,0.084"	0.084	305
"306.00,0.078"	0.078	306
"307.00,0.072"	0.072	307
"308.00,0.073"	0.073	308
"309.00,0.070"	0.07	309
"310.00,0.072"	0.072	310
"311.00,0.069"	0.069	311
"312.00,0.066"	0.066	312
"313.00,0.060"	0.06	313
"314.00,0.059"	0.059	314
"315.00,0.061"	0.061	315
"316.00,0.061"	0.061	316
"317.00,0.061"	0.061	317
"318.00,0.059"	0.059	318
"319.00,0.058"	0.058	319
"320.00,0.056"	0.056	320
"321.00,0.054"	0.054	321
"322.00,0.055"	0.055	322
"323.00,0.054"	0.054	323
"324.00,0.052"	0.052	324
"325.00,0.051"	0.051	325
"326.00,0.049"	0.049	326
"327.00,0.049"	0.049	327
"328.00,0.047"	0.047	328
"329.00,0.045"	0.045	329
"330.00,0.043"	0.043	330
"331.00,0.041"	0.041	331
"332.00,0.038"	0.038	332
"333.00,0.034"	0.034	333
"334.00,0.032"	0.032	334
"335.00,0.033"	0.033	335
"336.00,0.034"	0.034	336
"337.00,0.033"	0.033	337
"338.00,0.031"	0.031	338
"339.00,0.029"	0.029	339
"340.00,0.028"	0.028	340
"341.00,0.026"	0.026	341
"342.00,0.026"	0.026	342
"343.00,0.026"	0.026	343
"344.00,0.025"	0.025	344
"345.00,0.024"	0.024	345
"346.00,0.021"	0.021	346
"347.00,0.021"	0.021	347
"348.00,0.020"	0.02	348
"349.00,0.020"	0.02	349
"350.00,0.020"	0.02	350
"351.00,0.019"	0.019	351
"352.00,0.019"	0.019	352
"353.00,0.018"	0.018	353
"354.00,0.018"	0.018	354
"355.00,0.017"	0.017	355
"356.00,0.019"	0.019	356
"357.00,0.020"	0.02	357
"358.00,0.020"	0.02	358
"359.00,0.018"	0.018	359
"360.00,0.018"	0.018	360
"361.00,0.018"	0.018	361
"362.00,0.021"	0.021	362
"363.00,0.021"	0.021	363
"364.00,0.021"	0.021	364
"365.00,0.020"	0.02	365
"366.00,0.021"	0.021	366
"367.00,0.026"	0.026	367
"368.00,0.035"	0.035	368
"369.00,0.059"	0.059	369
"370.00,0.113"	0.113	370
"371.00,0.230"	0.23	371
"372.00,0.498"	0.498	372
"373.00,0.953"	0.953	373
"374.00,1.672"	1.672	374
"375.00,2.662"	2.662	375
"376.00,3.981"	3.981	376
"377.00,5.620"	5.62	377
"378.00,7.508"	7.508	378
"379.00,9.602"	9.602	379
"380.00,11.859"	11.859	380
"381.00,14.185"	14.185	381
"382.00,16.558"	16.558	382
"383.00,18.879"	18.879	383
"384.00,21.162"	21.162	384
"385.00,23.350"	23.35	385
"386.00,25.366"	25.366	386
"387.00,27.253"	27.253	387
"388.00,29.000"	29	388
"389.00,30.639"	30.639	389
"390.00,32.171"	32.171	390
"391.00,33.554"	33.554	391
"392.00,34.901"	34.901	392
"393.00,36.137"	36.137	393
"394.00,37.270"	37.27	394
"395.00,38.293"	38.293	395
"396.00,39.215"	39.215	396
"397.00,40.120"	40.12	397
"398.00,40.963"	40.963	398
"399.00,41.750"	41.75	399
"400.00,42.478"	42.478	400
"401.00,43.133"	43.133	401
"402.00,43.815"	43.815	402
"403.00,44.401"	44.401	403
"404.00,44.943"	44.943	404
"405.00,45.423"	45.423	405
"406.00,45.911"	45.911	406
"407.00,46.367"	46.367	407
"408.00,46.795"	46.795	408
"409.00,47.206"	47.206	409
"410.00,47.574"	47.574	410
"411.00,47.891"	47.891	411
"412.00,48.217"	48.217	412
"413.00,48.586"	48.586	413
"414.00,48.941"	48.941	414
"415.00,49.262"	49.262	415
"416.00,49.527"	49.527	416
"417.00,49.776"	49.776	417
"418.00,50.006"	50.006	418
"419.00,50.271"	50.271	419
"420.00,50.532"	50.532	420
"421.00,50.797"	50.797	421
"422.00,51.040"	51.04	422
"423.00,51.246"	51.246	423
"424.00,51.433"	51.433	424
"425.00,51.638"	51.638	425
"426.00,51.863"	51.863	426
"427.00,52.064"	52.064	427
"428.00,52.267"	52.267	428
"429.00,52.430"	52.43	429
"430.00,52.631"	52.631	430
"431.00,52.757"	52.757	431
"432.00,52.977"	52.977	432
"433.00,53.148"	53.148	433
"434.00,53.319"	53.319	434
